"","child_sex","cluster","PRQ_1.1.1","PRQ_1.1.2","PRQ_1.2.1","PRQ_1.2.2","PRQ_1.3.1","PRQ_1.3.2","PRQ_1.4.1","PRQ_1.4.2","PRQ_2.1.1","PRQ_2.1.2","PRQ_2.2.1","PRQ_2.2.2","PRQ_2.3.1","PRQ_2.3.2","PRQ_2.4.1","PRQ_2.4.2","PRQ_3.1.1","PRQ_3.1.2","PRQ_3.2.1","PRQ_3.2.2","PRQ_3.3.1","PRQ_3.3.2","PRQ_3.4.1","PRQ_3.4.2","PRQ_16.1.1","PRQ_16.1.2","PRQ_16.2.1","PRQ_16.2.2","PRQ_16.3.1","PRQ_16.3.2","PRQ_16.4.1","PRQ_16.4.2","PRQ_21.1.1","PRQ_21.1.2","PRQ_21.2.1","PRQ_21.2.2","PRQ_21.3.1","PRQ_21.3.2","PRQ_21.4.1","PRQ_21.4.2","PRQ_26.1.1","PRQ_26.1.2","PRQ_26.2.1","PRQ_26.2.2","PRQ_26.3.1","PRQ_26.3.2","PRQ_26.4.1","PRQ_26.4.2","PRQ_31.1.1","PRQ_31.1.2","PRQ_31.2.1","PRQ_31.2.2","PRQ_31.3.1","PRQ_31.3.2","PRQ_31.4.1","PRQ_31.4.2","PRQ_36.1.1","PRQ_36.1.2","PRQ_36.2.1","PRQ_36.2.2","PRQ_36.3.1","PRQ_36.3.2","PRQ_36.4.1","PRQ_36.4.2","PRQ_40.1.1","PRQ_40.1.2","PRQ_40.2.1","PRQ_40.2.2","PRQ_40.3.1","PRQ_40.3.2","PRQ_40.4.1","PRQ_40.4.2","PRQ_42.1.1","PRQ_42.1.2","PRQ_42.2.1","PRQ_42.2.2","PRQ_42.3.1","PRQ_42.3.2","PRQ_42.4.1","PRQ_42.4.2","PRQ_43.1.1","PRQ_43.1.2","PRQ_43.2.1","PRQ_43.2.2","PRQ_43.3.1","PRQ_43.3.2","PRQ_43.4.1","PRQ_43.4.2"
"1",2,1.1,3,3,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA
"2",2,24.1,3,3,NA,NA,3,3,2,4,3,3,NA,NA,2,3,3,4,4,4,NA,NA,3,4,3,4,3,3,NA,NA,3,3,3,4,4,3,NA,NA,3,3,2,4,4,4,NA,NA,4,4,4,4,3,3,NA,NA,3,3,3,4,3,3,NA,NA,3,3,3,4,4,3,NA,NA,3,3,4,4,4,3,NA,NA,3,3,4,4,3,3,NA,NA,3,3,3,4
"3",2,12.2,2,3,3,3,2,3,NA,NA,2,2,2,3,3,3,NA,NA,2,3,3,4,4,3,NA,NA,3,4,4,2,4,4,NA,NA,3,4,2,2,2,3,NA,NA,4,4,4,4,4,4,NA,NA,2,3,2,2,2,3,NA,NA,2,3,2,3,3,3,NA,NA,2,4,3,2,3,4,NA,NA,3,4,3,3,3,4,NA,NA,2,3,3,3,3,3,NA,NA
"4",1,14.1,2,4,NA,NA,3,4,4,4,2,3,NA,NA,2,4,3,3,3,3,NA,NA,3,4,3,4,2,2,NA,NA,3,2,3,2,2,3,NA,NA,2,3,3,2,2,4,NA,NA,4,4,4,4,2,4,NA,NA,2,4,3,4,2,3,NA,NA,3,4,2,4,2,4,NA,NA,3,4,2,4,2,4,NA,NA,3,4,3,4,2,3,NA,NA,3,3,2,4
"5",1,1.1,4,3,NA,NA,NA,NA,3,2,3,2,NA,NA,NA,NA,3,2,3,2,NA,NA,NA,NA,4,3,3,3,NA,NA,NA,NA,3,4,3,2,NA,NA,NA,NA,2,2,4,4,NA,NA,NA,NA,3,4,3,3,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,3,3,4,2,NA,NA,NA,NA,3,3,4,4,NA,NA,NA,NA,4,4,3,3,NA,NA,NA,NA,3,4
"6",2,11.2,2,3,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA
"7",2,16.1,3,2,3,3,3,3,NA,NA,3,2,2,3,2,3,NA,NA,2,2,3,3,3,3,NA,NA,3,2,3,3,3,2,NA,NA,3,2,3,2,3,4,NA,NA,4,3,4,4,4,4,NA,NA,4,2,4,3,3,4,NA,NA,3,2,3,3,2,4,NA,NA,3,3,3,3,2,4,NA,NA,4,4,3,4,3,4,NA,NA,3,2,3,3,3,4,NA,NA
"8",1,11.2,2,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA
"9",2,16.1,4,3,4,3,4,3,NA,NA,3,3,2,3,3,3,NA,NA,3,3,3,3,3,3,NA,NA,2,2,3,3,3,3,NA,NA,2,2,2,2,3,2,NA,NA,4,4,4,4,4,4,NA,NA,2,2,4,3,3,3,NA,NA,3,3,2,3,2,3,NA,NA,3,3,4,3,3,3,NA,NA,3,3,4,3,3,4,NA,NA,2,2,2,2,3,3,NA,NA
"10",1,16.2,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,4,4,4,4,4,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3,3,4,3,4,3,3,4,3,3,3,3,3,3,3,3,3
