"","child_sex","cluster","EREP_1.1.1","EREP_1.1.2","EREP_1.2.1","EREP_1.2.2","EREP_1.3.1","EREP_1.3.2","EREP_4.1.1","EREP_4.1.2","EREP_4.2.1","EREP_4.2.2","EREP_4.3.1","EREP_4.3.2","EREP_6.1.1","EREP_6.1.2","EREP_6.2.1","EREP_6.2.2","EREP_6.3.1","EREP_6.3.2","EREP_7.1.1","EREP_7.1.2","EREP_7.2.1","EREP_7.2.2","EREP_7.3.1","EREP_7.3.2","EREP_8.1.1","EREP_8.1.2","EREP_8.2.1","EREP_8.2.2","EREP_8.3.1","EREP_8.3.2","EREP_10.1.1","EREP_10.1.2","EREP_10.2.1","EREP_10.2.2","EREP_10.3.1","EREP_10.3.2","EREP_2.1.1","EREP_2.1.2","EREP_2.2.1","EREP_2.2.2","EREP_2.3.1","EREP_2.3.2","EREP_3.1.1","EREP_3.1.2","EREP_3.2.1","EREP_3.2.2","EREP_3.3.1","EREP_3.3.2","EREP_5.1.1","EREP_5.1.2","EREP_5.2.1","EREP_5.2.2","EREP_5.3.1","EREP_5.3.2","EREP_9.1.1","EREP_9.1.2","EREP_9.2.1","EREP_9.2.2","EREP_9.3.1","EREP_9.3.2","EREP_12.1.1","EREP_12.1.2","EREP_12.2.1","EREP_12.2.2","EREP_12.3.1","EREP_12.3.2"
"1",2,1.1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,7,7,NA,NA,NA,NA,7,7,NA,NA,NA,NA
"2",2,24.1,4,1,NA,NA,4,1,4,1,NA,NA,3,2,4,1,NA,NA,7,2,4,7,NA,NA,1,2,4,1,NA,NA,4,1,4,3,NA,NA,4,2,1,1,NA,NA,4,1,1,1,NA,NA,2,1,1,1,NA,NA,2,1,6,7,NA,NA,6,7,6,7,NA,NA,6,7
"3",2,12.2,6,1,4,1,4,1,4,4,4,4,4,4,5,4,4,4,4,2,4,6,1,1,1,1,4,4,4,4,4,4,6,4,6,2,4,7,6,4,4,4,4,4,5,4,1,4,1,4,5,4,6,4,4,4,7,7,2,7,2,7,7,6,4,5,4,7
"4",1,14.1,NA,1,NA,NA,6,7,NA,1,NA,NA,1,1,NA,1,NA,NA,3,3,6,1,NA,NA,2,1,NA,1,NA,NA,2,1,NA,5,NA,NA,1,5,2,1,NA,NA,1,1,2,1,NA,NA,1,1,1.8000774823641,1,NA,NA,1,1,6,7,NA,NA,6,7,6,7,NA,NA,5,7
"5",1,1.1,4,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,6,1,NA,NA,NA,NA,5,1,NA,NA,NA,NA,5,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,5,7,NA,NA,NA,NA,5,5,NA,NA,NA,NA
"6",2,11.2,5,1,NA,NA,NA,NA,4,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,6,6,NA,NA,NA,NA,2,2,NA,NA,NA,NA,5,5,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,6,5,NA,NA,NA,NA,6,7,NA,NA,NA,NA
"7",2,16.1,4,6,1,5,5,7,1,1,1,1,1,1,1,3,1,6,3,7,1,1,3,4,3,5,5,1,1,1,1,1,5,5,1,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,6,7,6,7,7,7,7,7,6,7
"8",1,11.2,4,1,NA,NA,NA,NA,4,4,NA,NA,NA,NA,4,2,NA,NA,NA,NA,4,7,NA,NA,NA,NA,4,5,NA,NA,NA,NA,4,7,NA,NA,NA,NA,4,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,4,7,NA,NA,NA,NA,4,7,NA,NA,NA,NA
"9",2,16.1,1,1,2,1,2,5,1,1,1,1,1,1,1,1,2,2,2,5,2,2,1,1,2,1,1,1,1,1,1,1,6,6,2,2,6,6,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,6,7,6,6,7,7,6,7
"10",1,16.2,5,5,7,4,7,2,2,2,4,3,1,1,3,5,4,4,6,6,4,4,3,4,6,5,2,2,1,3,1,1,5,5,5,5,5,7,1,2,5,3,1,1,2,2,1,4,1,1,2,2,1,3,1,2,6,5,7,6,7,5,7,7,7,5,6,7
